iter	MultiClass
0	2.276832926
1	2.253338538
2	2.23230751
3	2.213284335
4	2.196066745
5	2.180787441
6	2.167018936
7	2.154562329
8	2.143218917
9	2.13287401
10	2.123417846
11	2.114608615
12	2.10655461
13	2.099096539
14	2.092045944
15	2.085636162
16	2.079480896
17	2.074051544
18	2.068870275
19	2.064322827
20	2.060253894
21	2.056516637
22	2.052926128
23	2.049609139
24	2.046421252
25	2.043769506
26	2.040976202
27	2.038253702
28	2.035705153
29	2.033443398
30	2.031247037
31	2.029254387
32	2.027410512
33	2.025702562
34	2.024187133
35	2.022659047
36	2.021169227
37	2.019769725
38	2.018618597
39	2.017503158
40	2.016524336
41	2.01554762
42	2.014622097
43	2.013738485
44	2.012956904
45	2.012184118
46	2.011458247
47	2.010766891
48	2.01017403
49	2.009610312
50	2.00901275
51	2.008508158
52	2.008007843
53	2.007484033
54	2.007091807
55	2.006676497
56	2.006349861
57	2.005951796
58	2.005586042
59	2.005226678
60	2.004916921
61	2.004687164
62	2.004383942
63	2.004137382
64	2.003901541
65	2.00366728
66	2.003468066
67	2.003310673
68	2.003051387
69	2.002876477
70	2.002725142
71	2.00254177
72	2.002404508
73	2.00226047
74	2.002135456
75	2.00200268
76	2.001888279
77	2.001753026
78	2.001620379
79	2.001474323
80	2.001325672
81	2.001227299
82	2.001120797
83	2.000992962
84	2.000888023
85	2.000774668
86	2.0006999
87	2.000622322
88	2.00051569
89	2.000441974
90	2.000368825
91	2.000299142
92	2.000171933
93	2.000086542
94	2.000022473
95	1.999949103
96	1.999866938
97	1.99981055
98	1.999760587
99	1.999684782
100	1.999618701
101	1.999549331
102	1.999483788
103	1.999420775
104	1.999353481
105	1.999290348
106	1.99923001
107	1.999183983
108	1.999137238
109	1.999102662
110	1.999043899
111	1.998950398
112	1.998898306
113	1.99886586
114	1.998803613
115	1.99876018
116	1.998702448
117	1.998633505
118	1.998591855
119	1.998529125
120	1.998483154
121	1.998415985
122	1.998354894
123	1.998326652
124	1.998257834
125	1.998215922
126	1.99814366
127	1.998091899
128	1.998045304
129	1.99799155
130	1.997938086
131	1.99787492
132	1.99782596
133	1.997796786
134	1.997738734
135	1.997695597
136	1.997642649
137	1.997607338
138	1.997573837
139	1.99753737
140	1.997497724
141	1.997489152
142	1.997444353
143	1.9973943
144	1.997359003
145	1.997318752
146	1.997282811
147	1.997231629
148	1.997167036
149	1.997124971
150	1.997091115
151	1.99704696
152	1.997019349
153	1.996935541
154	1.996889576
155	1.996848167
156	1.996803278
157	1.996776877
158	1.996737323
159	1.996683233
160	1.996633233
161	1.996610286
162	1.996578207
163	1.996550325
164	1.996508799
165	1.996477388
166	1.99642961
167	1.996396822
168	1.996363959
169	1.996323217
170	1.996276133
171	1.996264075
172	1.996224122
173	1.996193917
174	1.996152131
175	1.996131049
176	1.996115169
177	1.996089346
178	1.996056447
179	1.995995218
180	1.995981915
181	1.995949637
182	1.995902954
183	1.99586054
184	1.995830073
185	1.995801353
186	1.995770315
187	1.995748959
188	1.995708258
189	1.99566563
190	1.995629263
191	1.995593648
192	1.995555195
193	1.995526939
194	1.995486956
195	1.995437954
196	1.995399364
197	1.995354734
198	1.995307151
199	1.995254367
200	1.995219028
201	1.99516782
202	1.995127546
203	1.995107461
204	1.995067449
205	1.995007978
206	1.994991876
207	1.994937693
208	1.99491456
209	1.99488202
210	1.9948609
211	1.994820357
212	1.994773529
213	1.994725345
214	1.99468504
215	1.994657522
216	1.994588079
217	1.994518412
218	1.994486049
219	1.994433858
220	1.994391217
221	1.994345492
222	1.994313318
223	1.994264102
224	1.994196364
225	1.994172746
226	1.994128381
227	1.994074633
228	1.994039139
229	1.994011095
230	1.993963159
231	1.993925681
232	1.993885042
233	1.993839659
234	1.993798973
235	1.99372511
236	1.993671439
237	1.993635362
238	1.993590434
239	1.993518984
240	1.993491029
241	1.993437094
242	1.993396803
243	1.99335248
244	1.993327492
245	1.993269796
246	1.993236765
247	1.993212149
248	1.99315949
249	1.993109559
250	1.993067058
251	1.993018668
252	1.992978285
253	1.992915015
254	1.992855325
255	1.992810815
256	1.99277671
257	1.992715375
258	1.992627819
259	1.992552547
260	1.992492978
261	1.992444405
262	1.992402927
263	1.99235412
264	1.992302772
265	1.992274841
266	1.992237814
267	1.992186214
268	1.992138314
269	1.992099717
270	1.992048802
271	1.99200195
272	1.991947688
273	1.99191371
274	1.991864284
275	1.991819601
276	1.991755147
277	1.99171007
278	1.991658099
279	1.991632033
280	1.991564551
281	1.99153363
282	1.991489553
283	1.991409132
284	1.991335155
285	1.991310604
286	1.991280795
287	1.991258982
288	1.991210139
289	1.991150401
290	1.991113471
291	1.991071812
292	1.991049326
293	1.991005798
294	1.990967222
295	1.99092375
296	1.990862182
297	1.99079061
298	1.990761699
299	1.99068622
