iter	Passed	Remaining
0	24	7210
1	38	5766
2	54	5396
3	67	5015
4	79	4691
5	90	4410
6	99	4171
7	109	3996
8	120	3908
9	134	3896
10	153	4022
11	172	4129
12	192	4257
13	216	4416
14	237	4518
15	258	4582
16	277	4626
17	298	4673
18	313	4632
19	326	4569
20	345	4590
21	363	4591
22	379	4568
23	394	4534
24	406	4466
25	411	4334
26	424	4288
27	445	4329
28	464	4336
29	475	4280
30	485	4217
31	496	4156
32	506	4095
33	516	4036
34	525	3980
35	539	3953
36	550	3910
37	561	3872
38	580	3883
39	604	3928
40	616	3893
41	627	3851
42	636	3806
43	646	3761
44	657	3724
45	670	3700
46	686	3693
47	704	3700
48	723	3703
49	744	3724
50	766	3740
51	786	3750
52	802	3737
53	823	3751
54	844	3761
55	864	3767
56	880	3755
57	903	3770
58	921	3765
59	932	3729
60	943	3698
61	962	3694
62	976	3672
63	987	3641
64	998	3611
65	1010	3584
66	1023	3558
67	1034	3527
68	1043	3494
69	1055	3469
70	1069	3449
71	1095	3470
72	1120	3484
73	1148	3506
74	1166	3500
75	1193	3518
76	1217	3526
77	1230	3502
78	1240	3469
79	1250	3439
80	1260	3408
81	1275	3391
82	1298	3394
83	1319	3393
84	1339	3387
85	1358	3381
86	1372	3361
87	1384	3336
88	1396	3311
89	1412	3295
90	1427	3278
91	1439	3253
92	1449	3226
93	1461	3202
94	1475	3183
95	1486	3158
96	1498	3136
97	1521	3136
98	1540	3127
99	1554	3109
100	1569	3092
101	1590	3086
102	1609	3079
103	1629	3071
104	1648	3061
105	1665	3048
106	1685	3040
107	1707	3035
108	1728	3029
109	1737	3001
110	1756	2991
111	1776	2981
112	1795	2971
113	1810	2953
114	1831	2945
115	1847	2930
116	1864	2915
117	1885	2907
118	1905	2897
119	1924	2887
120	1945	2877
121	1965	2867
122	1985	2856
123	1999	2837
124	2013	2818
125	2029	2802
126	2042	2782
127	2062	2770
128	2075	2751
129	2086	2729
130	2098	2706
131	2108	2682
132	2119	2661
133	2131	2640
134	2156	2635
135	2180	2629
136	2204	2622
137	2227	2614
138	2250	2606
139	2275	2601
140	2296	2589
141	2304	2564
142	2326	2554
143	2349	2545
144	2373	2537
145	2396	2527
146	2418	2517
147	2438	2503
148	2450	2483
149	2461	2461
150	2472	2439
151	2487	2422
152	2498	2400
153	2511	2380
154	2522	2359
155	2534	2339
156	2553	2325
157	2577	2316
158	2597	2303
159	2609	2283
160	2621	2263
161	2632	2242
162	2642	2220
163	2652	2199
164	2662	2178
165	2672	2157
166	2689	2141
167	2717	2135
168	2740	2124
169	2752	2105
170	2768	2088
171	2784	2072
172	2798	2054
173	2810	2035
174	2822	2015
175	2832	1995
176	2841	1974
177	2848	1952
178	2858	1932
179	2871	1914
180	2889	1899
181	2901	1881
182	2913	1862
183	2923	1843
184	2941	1828
185	2958	1813
186	2980	1801
187	3000	1787
188	3024	1776
189	3043	1762
190	3062	1747
191	3075	1729
192	3086	1711
193	3096	1691
194	3108	1673
195	3120	1655
196	3137	1640
197	3160	1627
198	3180	1614
199	3193	1596
200	3205	1578
201	3218	1561
202	3229	1543
203	3246	1527
204	3267	1514
205	3286	1499
206	3304	1484
207	3321	1469
208	3342	1455
209	3361	1440
210	3373	1422
211	3383	1404
212	3394	1386
213	3406	1368
214	3418	1351
215	3440	1337
216	3460	1323
217	3480	1309
218	3500	1294
219	3522	1280
220	3543	1266
221	3558	1250
222	3575	1234
223	3594	1219
224	3616	1205
225	3637	1191
226	3656	1175
227	3670	1159
228	3679	1140
229	3689	1123
230	3699	1105
231	3709	1087
232	3722	1070
233	3738	1054
234	3754	1038
235	3769	1022
236	3784	1006
237	3806	991
238	3821	975
239	3839	959
240	3856	944
241	3877	929
242	3889	912
243	3901	895
244	3912	878
245	3922	861
246	3941	845
247	3957	829
248	3973	813
249	3985	797
250	3997	780
251	4009	763
252	4023	747
253	4037	731
254	4049	714
255	4073	700
256	4090	684
257	4100	667
258	4110	650
259	4120	633
260	4131	617
261	4148	601
262	4162	585
263	4175	569
264	4192	553
265	4215	538
266	4237	523
267	4261	508
268	4282	493
269	4299	477
270	4319	462
271	4339	446
272	4361	431
273	4384	416
274	4405	400
275	4419	384
276	4429	367
277	4440	351
278	4451	335
279	4469	319
280	4499	304
281	4524	288
282	4545	273
283	4564	257
284	4584	241
285	4607	225
286	4629	209
287	4650	193
288	4667	177
289	4679	161
290	4690	145
291	4700	128
292	4714	112
293	4736	96
294	4757	80
295	4769	64
296	4780	48
297	4791	32
298	4801	16
299	4811	0
